Number,year,New_Price,value,diff,Kilometers_Driven
2558,2018,4.05,3.48,0.57,30953
2563,2018,26.95,21.69,5.26,48188
2665,2018,4.09,3.63,0.46,46805
2722,2018,9.72,7.9,1.82,31426
2767,2018,95.13,59.29,35.84,30706
2788,2018,6.68,6.07,0.61,20689
2812,2018,7.14,5.55,1.59,3958
2851,2018,4.61,4.5,0.11,18335
2859,2018,5.3,4.8,0.5,4126
2890,2018,14.1,10.44,3.66,27852
2894,2018,12.22,9.9,2.32,14000
2915,2018,6.96,5.85,1.11,10000
2990,2018,11.66,9.25,2.41,14000
3006,2018,23.89,18.5,5.39,16039
3075,2018,22.37,16.95,5.42,5000
3119,2018,4.66,4,0.66,44202
3190,2018,20.97,18,2.97,20300
3198,2018,16.4,13,3.4,9000
3254,2018,8.24,7.34,0.9,8896
3268,2018,95.13,59.65,35.48,29277
3273,2018,8.57,7.29,1.28,34630
3300,2018,7.56,5.65,1.91,17000
3383,2018,11.2,9.25,1.95,32189
3425,2018,12.47,10.15,2.32,52380
3514,2018,15.17,12.5,2.67,4500
3552,2018,8.28,5.95,2.33,48000
3569,2018,7.88,6.25,1.63,15900
3584,2018,21.72,19.46,2.26,42203
3587,2018,11.47,9.22,2.25,4900
3603,2018,4.9,3.5,1.4,5000
3774,2018,11.11,9.18,1.93,10575
3836,2018,56.97,41.5,15.47,22000
3838,2018,12.56,11,1.56,28741
3841,2018,11.19,8.7,2.49,5000
3910,2018,10.28,8.7,1.58,2000
3943,2018,21.38,17.55,3.83,26101
3953,2018,10.81,8.25,2.56,3000
4034,2018,17,11.25,5.75,14000
4083,2018,10.89,8.61,2.28,26731
4099,2018,7.54,6.5,1.04,10000
4169,2018,4.05,3.6,0.45,6279
4233,2018,44.8,32.73,12.07,22060
4300,2018,6.14,4.45,1.69,1997
4346,2018,8.16,7.75,0.41,2000
4403,2018,8.18,6.7,1.48,6000
4444,2018,6.4,4.8,1.6,4500
4451,2018,83.92,56.8,27.12,21290
4495,2018,10.7,8.55,2.15,64035
4570,2018,12.88,11.5,1.38,3300
4685,2018,11.48,7.64,3.84,20488
4724,2018,6.71,5,1.71,40000
4731,2018,6.99,4,2.99,24000
4795,2018,58.67,37.92,20.75,21936
4877,2018,11.13,9.62,1.51,17477
4887,2018,11.58,10.19,1.39,57078
4902,2018,10.3,8.85,1.45,3000
4926,2018,17.7,13.25,4.45,44383
4934,2018,9.62,8.37,1.25,25082
4968,2018,6.94,5,1.94,2000
5030,2018,8.63,8.39,0.24,32539
5062,2018,4.87,3.75,1.12,30000
5200,2018,5.72,4.99,0.73,38171
5237,2018,16.06,12.13,3.93,53322
5249,2018,8.44,7.23,1.21,1001
5271,2018,5.95,5.63,0.32,12278
5272,2018,15.36,11.78,3.58,17665
5291,2018,9.83,8.15,1.68,43639
5314,2018,8.18,6.28,1.9,32663
5331,2018,12.12,10.9,1.22,13000
5396,2018,10.83,8.49,2.34,51236
5479,2018,5.67,4.5,1.17,14000
5516,2018,70.55,61.25,9.3,1400
5632,2018,10.63,7.9,2.73,3000
5684,2018,8.71,7.39,1.32,33150
5736,2018,7.96,5.5,2.46,42000
5749,2018,11.88,10.07,1.81,11732
5829,2018,4.78,4.29,0.49,1617
5894,2018,14.72,13.2,1.52,9900
5928,2018,10.52,7.29,3.23,37323
5940,2018,7.91,5.9,2.01,27000
5941,2018,4.45,3.4,1.05,1000
5964,2018,15.14,12.85,2.29,8000
5970,2018,39.22,26.76,12.46,17773
67,2019,49.14,35.67,13.47,15369
135,2019,13.49,11.5,1.99,12645
173,2019,7.39,6.5,0.89,1000
235,2019,20.74,19.64,1.1,14165
357,2019,36.15,27.3,8.85,13747
544,2019,49.49,38.99,10.5,13190
599,2019,28.05,24.82,3.23,40674
796,2019,21.33,17.63,3.7,19654
1010,2019,12.12,11.65,0.47,23154
1077,2019,11.2,10.49,0.71,34688
1198,2019,6.74,5.68,1.06,1000
1324,2019,6.07,6.06,0.01,16862
1368,2019,6.68,6.17,0.51,18453
1505,2019,139,97.07,41.93,26013
1532,2019,24.01,22.55,1.46,11241
1583,2019,91.38,72.94,18.44,6773
1797,2019,7.59,7.27,0.32,20877
1877,2019,20.74,19.65,1.09,10601
2095,2019,106,83.96,22.04,2526
2319,2019,92.5,78.8,13.7,9312
2488,2019,22.74,17.85,4.89,14233
2595,2019,7.17,6.97,0.2,15379
2728,2019,10.3,9.51,0.79,13574
2855,2019,37.38,33.13,4.25,21719
2916,2019,26.95,23.91,3.04,6261
2917,2019,7.96,7.36,0.6,3906
3059,2019,52.46,6.67,45.79,87000
3132,2019,136,2.02,133.98,14298
3156,2019,7.98,6.84,1.14,12153
3161,2019,41.98,31.55,10.43,14857
3163,2019,35.29,27.36,7.93,14648
3324,2019,43.07,25.75,17.32,29836
3555,2019,23.94,22.2,1.74,33598
3567,2019,43.07,30.77,12.3,13414
3682,2019,5.9,5.5,0.4,12076
3705,2019,64.57,50.97,13.6,29311
4131,2019,37.17,35.82,1.35,56251
4350,2019,24.01,21.42,2.59,31271
4452,2019,20.74,19.4,1.34,14076
4601,2019,48.18,36.64,11.54,15456
4728,2019,13.6,11.88,1.72,12336
4748,2019,6.21,5.85,0.36,16698
4961,2019,10.26,8.3,1.96,8018
4978,2019,9.47,8.86,0.61,25717
4984,2019,19.18,16.27,2.91,24864
5038,2019,69.22,56.14,13.08,24013
5079,2019,9.78,8.78,1,21134
5102,2019,5.12,5.34,-0.22,31817
5339,2019,10.25,8.6,1.65,1000
5434,2019,9.36,8.2,1.16,13913
5560,2019,4.78,5.09,-0.31,6568
5582,2019,34.45,30.85,3.6,28069
5606,2019,6.8,6.25,0.55,600
5715,2019,13.4,11.66,1.74,22321
5769,2019,6.59,6.94,-0.35,20712
5789,2019,4.04,3.8,0.24,7858
5805,2019,12.44,9.66,2.78,21214
5875,2019,49.14,35,14.14,4000
